癤풞loitus;P채iv채m채채r채;P채ivi채;Viikko;Massa_g;M채채r채_kpl;Marjapaino;Sato_kumul;Satoperkasvi
4.3.2025;7.5.2025;64;9;896,6;45;19,92;896,6;15,45862069
4.3.2025;12.5.2025;69;10;721,12;46;15,68;1617,72;27,89172414
4.3.2025;14.5.2025;71;10;129,92;10;12,99;1747,64;30,13172414
4.3.2025;20.5.2025;77;11;2239,24;150;14,93;3986,88;68,73931034
4.3.2025;23.5.2025;80;11;229,23;15;15,28;4216,11;72,69155172
4.3.2025;28.5.2025;85;12;2083,09;162;12,86;6299,2;108,6068966
4.3.2025;4.6.2025;92;13;1854,13;149;12,44;8153,33;140,5746552
4.3.2025;12.6.2025;100;14;3995,37;260;15,37;12148,7;209,4603448
4.3.2025;18.6.2025;106;15;4455,06;294;15,15;16603,76;286,2717241
4.3.2025;25.6.2025;113;16;5299,8;412;12,86;21903,56;377,6475862
4.3.2025;30.6.2025;118;17;3752,01;320;11,73;25655,57;442,3374138
4.3.2025;3.7.2025;121;17;1829,25;165;11,09;27484,82;473,8762069
4.3.2025;7.7.2025;125;18;2316,35;223;10,39;29801,17;513,8132759
4.3.2025;10.7.2025;128;18;1805,78;197;9,17;31606,95;544,9474138
4.3.2025;14.7.2025;132;19;1783,12;181;9,85;33390,07;575,6908621
4.3.2025;18.7.2025;136;19;1240,75;137;9,06;34630,82;597,0831034
4.3.2025;21.7.2025;139;20;1103,72;100;11,04;35734,54;616,1127586
4.3.2025;25.7.2025;143;20;1384,13;130;10,65;37118,67;639,977069
4.3.2025;28.7.2025;146;21;846,48;92;9,20;37965,15;654,5715517
4.3.2025;31.7.2025;149;21;939,22;112;8,39;38904,37;670,765
4.3.2025;5.8.2025;154;22;924,45;78;11,85;39828,82;686,7037931
4.3.2025;8.8.2025;157;22;759,47;59;12,87;40588,29;699,7981034
4.3.2025;13.8.2025;162;23;1156,13;96;12,04;41744,42;719,7313793
4.3.2025;21.8.2025;170;24;2116,18;176;12,02;43860,6;756,2172414
4.3.2025;27.8.2025;176;25;2211,31;179;12,35;46071,91;794,3432759
4.3.2025;3.9.2025;183;26;2640,14;212;12,45;48712,05;839,862931
4.3.2025;10.9.2025;190;27;3473,96;253;13,73;52186,01;899,7587931
4.3.2025;17.9.2025;197;28;4403,98;341;12,91;56589,99;975,6894828
